User	Text	Date	Retweet Count	Reply To
Evanis	We may not see the famous argument then...... #Vinb  https://t.co/GVVpnY0RZM	2015-06-24 22:37:44	0	None
MoranPaul52	Is this the scrap with Ferris and  #vinb?	2015-06-24 22:37:39	0	None
Ballymunsaysno	#PeoplesDebate #not1pipe #vinb http://t.co/yDCsx55fUH	2015-06-24 22:37:39	0	None
ger_mccann	#vinb Yez have all had a go at makin a bollix of it, ( ff,fg,gp,pd's and lab) and you have all succeeded.! Roll on GE.!	2015-06-24 22:37:34	6	None
AhhhMeBollix	FF, FG,LAB...altogether now lads..."It was the bankers wat done it" #vinb	2015-06-24 22:37:33	0	None
ReclaimTheVoice	A non aligned republican.....?   That's a Fine Gaeler isn't it...?  #vinb	2015-06-24 22:37:16	0	None
Ballymunsaysno	#not1pipe #VinB #PeoplesDebate http://t.co/S7kPyEKVze	2015-06-24 22:37:16	1	None
ATMH1994	I have a feeling #repealthe8th won't come up at this debate #vinb	2015-06-24 22:36:49	0	None
AnsbacherK	The Healy-Raes are doing quite well from council contracts, pure coincidence I'm sure. #vinb http://t.co/SLl5MMDgf6	2015-06-24 22:36:36	1	None
Evanis	Let's hope it hasn't been cut #vinb  https://t.co/o5ZQdstyGJ	2015-06-24 22:36:35	0	None
Ballymunsaysno	#PeoplesDebate #vinb #not1pipe http://t.co/yDtg15rEvj	2015-06-24 22:36:32	8	None
tnteacherTim	@anbealach EVERYBODY knows this is wrong. EVERYBODY. #vinb	2015-06-24 22:36:26	1	anbealach
ReclaimTheVoice	Cant help thinking, in Kerry, the Sunday hymns are  'Michael row the boat ashore,   Healy -Rae-ya.....  #vinb   #rtv	2015-06-24 22:36:18	0	None
mairinber	@FineGael are in power so the local TD is supporting their policies there is no point in pretending otherwise Brendan #vinb	2015-06-24 22:36:13	0	FineGael
nodknowles	Time for a flat rate flat cap tax for the fat cats to be capped. #vinb #healyrae	2015-06-24 22:36:10	0	None
